ts,humidity1,humidity2,humidity3,humidity4,humidity5,humidity6,humidity7,humidity8,temperature1,temperature2,temperature3,temperature4,temperature5,temperature6,temperature7,temperature8
2024-03-28 00:02:02,42.72,41.74,45.45,52.57,30.42,38.27,31.98,45.66,18.11,18.39,17.40,15.00,23.12,19.45,22.19,18.80
2024-03-28 00:04:07,41.88,41.05,45.43,52.49,30.24,37.89,31.85,45.72,18.43,18.65,17.48,15.03,23.22,19.67,22.28,18.80
2024-03-28 00:06:12,42.19,41.34,45.40,52.49,30.21,37.50,31.60,45.70,18.22,18.44,17.50,15.00,23.24,19.86,22.40,18.80
2024-03-28 00:08:17,43.04,42.07,45.46,52.61,30.32,37.44,31.46,45.78,17.87,18.13,17.50,15.05,23.20,19.89,22.51,18.80
2024-03-28 00:10:22,43.93,42.84,45.50,52.58,30.44,37.64,31.47,45.87,17.53,17.85,17.50,15.10,23.15,19.79,22.53,18.80
2024-03-28 00:12:27,44.65,43.40,45.57,52.73,30.59,37.91,31.37,45.90,17.38,17.76,17.50,15.08,23.12,19.72,22.60,18.80
2024-03-28 00:14:32,43.89,42.64,45.63,52.89,30.49,38.00,31.45,45.99,17.69,18.12,17.59,15.07,23.22,19.72,22.60,18.81
2024-03-28 00:16:37,44.05,42.73,45.58,52.85,30.42,37.85,31.47,45.98,17.58,17.98,17.60,15.10,23.21,19.80,22.57,18.80
2024-03-28 00:18:42,44.62,43.35,45.62,52.78,30.45,37.87,31.58,46.00,17.33,17.71,17.54,15.10,23.20,19.72,22.50,18.80
2024-03-28 00:20:47,45.30,43.92,45.63,52.63,30.54,37.98,31.56,45.97,17.07,17.48,17.50,15.17,23.14,19.68,22.50,18.80
2024-03-28 00:22:52,46.06,44.58,45.65,52.47,30.73,38.34,31.75,45.99,16.91,17.33,17.50,15.20,23.09,19.57,22.36,18.80
2024-03-28 00:24:57,45.33,43.98,45.68,52.51,30.76,38.53,31.78,45.95,17.31,17.70,17.50,15.21,23.14,19.55,22.36,18.83
2024-03-28 00:27:02,44.09,42.97,45.79,52.50,30.65,38.45,31.65,45.95,17.82,18.17,17.50,15.21,23.27,19.63,22.50,18.89
2024-03-28 00:29:07,42.97,42.04,45.74,52.51,30.47,38.16,31.48,45.99,18.31,18.56,17.58,15.26,23.41,19.80,22.64,18.90
2024-03-28 00:31:12,42.64,41.74,45.72,52.60,30.30,37.75,31.37,46.02,18.35,18.57,17.60,15.22,23.50,19.98,22.69,18.90
2024-03-28 00:33:17,43.30,42.36,45.78,52.68,30.31,37.54,31.44,46.07,18.04,18.28,17.60,15.20,23.50,20.07,22.60,18.90
2024-03-28 00:35:22,44.08,42.98,45.81,52.75,30.37,37.53,31.57,46.12,17.71,18.03,17.60,15.23,23.43,20.06,22.58,18.90
2024-03-28 00:37:27,44.91,43.62,45.88,52.65,30.44,37.75,31.78,46.15,17.38,17.77,17.60,15.26,23.35,19.96,22.45,18.89
2024-03-28 00:39:32,44.92,43.57,45.86,52.79,30.58,38.01,31.92,46.20,17.53,17.93,17.60,15.27,23.38,19.90,22.43,18.90
2024-03-28 00:41:37,44.32,42.92,45.82,52.66,30.46,37.88,31.83,46.17,17.70,18.12,17.61,15.30,23.40,19.90,22.50,18.90
2024-03-28 00:43:42,44.68,43.32,45.77,52.59,30.39,37.76,31.82,46.02,17.45,17.85,17.61,15.30,23.36,19.90,22.46,18.98
2024-03-28 00:45:47,45.34,43.92,45.66,52.53,30.43,37.78,31.84,45.88,17.18,17.59,17.61,15.30,23.30,19.88,22.38,19.00
2024-03-28 00:47:52,46.08,44.57,45.63,52.47,30.52,38.08,32.03,45.88,16.94,17.38,17.62,15.30,23.30,19.76,22.25,18.99
2024-03-28 00:49:57,45.81,44.42,45.71,52.56,30.59,38.46,32.01,45.86,17.21,17.63,17.62,15.30,23.35,19.67,22.33,19.00
2024-03-28 00:52:02,44.48,43.25,45.59,52.52,30.38,38.39,31.62,45.80,17.74,18.09,17.70,15.30,23.48,19.71,22.61,19.00
2024-03-28 00:54:07,43.33,42.33,45.51,52.53,30.16,38.16,31.38,45.80,18.21,18.47,17.71,15.30,23.63,19.83,22.75,19.00
2024-03-28 00:56:12,42.50,41.64,45.45,52.53,29.94,37.82,31.22,45.78,18.47,18.72,17.80,15.30,23.72,19.96,22.80,19.01
2024-03-28 00:58:17,42.96,42.08,45.38,52.42,29.87,37.60,31.18,45.72,18.18,18.40,17.77,15.33,23.72,20.00,22.80,19.05
2024-03-28 01:00:22,43.74,42.77,45.37,52.32,29.88,37.67,31.15,45.60,17.82,18.07,17.72,15.33,23.70,19.94,22.80,19.10
2024-03-28 01:02:27,44.59,43.38,45.40,52.37,29.92,37.87,31.21,45.56,17.45,17.80,17.70,15.30,23.65,19.83,22.74,19.08
